Product,Type,Release Date,Process Size,TDP,Die Size,Transistors,Freq,Vendor
Intel Core i5-450M,CPU,9/26/10,32,35,81,382,2400,Intel
Intel Pentium G3430,CPU,9/1/13,22,54,177,1400,3300,Intel
Intel Core i5-4210U,CPU,4/14/14,22,15,118,1400,1700,Intel
Intel Core 2 Duo E6420,CPU,4/1/07,65,65,111,167,2133,Intel
AMD Athlon XP 1900+,CPU,11/5/01,180,68,150,37,1600,AMD
Intel Pentium III 1400,CPU,12/1/01,130,31,80,44,1400,Intel
AMD Athlon 64 3000+,CPU,4/14/05,130,62,,105,1800,AMD
Intel Xeon E3-1290 v2,CPU,5/14/12,22,87,160,1400,3700,Intel
AMD Phenom X3 8550,CPU,4/23/08,65,95,285,450,2200,AMD
AMD Athlon XP 2200+,CPU,6/10/02,130,68,80,37,1800,AMD
Intel Mobile Pentium 4 HT 538,CPU,6/1/04,90,88,112,125,3200,Intel
Intel Pentium Dual-Core E2220,CPU,3/2/08,65,65,77,105,2400,Intel
AMD Ryzen 5 4600U,CPU,1/6/20,7,25,156,9800,2100,AMD
AMD Ryzen Threadripper 2970WX,CPU,10/2/18,12,250,213,19200,3000,AMD
AMD Opteron X2 875 HE,CPU,2/1/06,90,55,,233,2200,AMD
Intel Atom Z605,CPU,5/4/10,45,2,65,140,1000,Intel
Intel Atom N475,CPU,6/1/10,45,7,66,123,1834,Intel
Intel Xeon E5-1660 v2,CPU,9/1/13,22,130,160,1400,3700,Intel
AMD Sempron 3300+,CPU,7/15/05,90,62,,69,2000,AMD
AMD Ryzen 5 PRO 2600,CPU,9/19/18,12,65,192,4800,3400,AMD
AMD Phenom X4 9450e,CPU,10/1/08,65,65,285,450,2100,AMD
AMD A4-3420,CPU,12/20/11,32,65,228,1178,2800,AMD
Intel Pentium 4 1.80,CPU,8/27/01,180,67,217,42,1800,Intel
AMD Opteron 248,CPU,12/1/04,90,85,,106,2200,AMD
Intel Pentium 4 506,CPU,6/1/05,90,84,109,125,2660,Intel
Intel Core i7-3840QM,CPU,9/3/12,22,45,160,1400,2800,Intel
Intel Pentium 4 2.53,CPU,5/6/02,130,110,146,55,2527,Intel
Intel Mobile Pentium 4 2.40,CPU,6/11/03,130,60,131,55,2400,Intel
Intel Xeon Phi 7110P,CPU,11/12/12,22,300,350,5000,1250,Intel
AMD Turion 64 MT-30,CPU,3/10/05,90,22,125,114,1600,AMD
Intel Atom Z625,CPU,5/4/10,45,2,65,140,1900,Intel
Intel Core i5-4200U,CPU,6/4/13,22,15,118,1400,1600,Intel
Intel Pentium E5700,CPU,8/8/10,45,65,82,228,3000,Intel
Intel Pentium G3420T,CPU,9/1/13,22,35,177,1400,2700,Intel
AMD A10-9700E,CPU,7/27/17,28,35,246,1178,3000,AMD
Intel Pentium 4-M 2.00,CPU,6/24/02,130,32,131,55,2000,Intel
Intel Xeon E5620,CPU,3/16/10,32,80,239,1170,2400,Intel
AMD Opteron 6274,CPU,11/14/11,32,115,316,2400,2200,AMD
AMD Ryzen 7 1800X,CPU,3/2/17,14,95,192,4800,3600,AMD
AMD Ryzen 3 3200U,CPU,1/6/19,12,15,210,4940,2600,AMD
Intel Xeon E-2124G,CPU,5/31/18,14,72,126,1400,3400,Intel
AMD Athlon 700,CPU,6/5/00,180,40,120,37,700,AMD
AMD Athlon 64 2700+,CPU,4/27/04,130,32,144,69,1600,AMD
AMD Ryzen 7 2700X,CPU,4/19/18,12,105,192,4800,3700,AMD
AMD Ryzen Embedded V1807B,CPU,2/21/18,14,45,210,4950,3350,AMD
AMD Athlon II X3 415e,CPU,5/11/10,45,45,169,300,2500,AMD
Intel Core i5-2310,CPU,5/22/11,32,95,216,1160,2900,Intel
